Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0003077587816450331    2157                     -187.8830984137871       22                       -155.33571641010744      32                       0.00598417857046903      209                      -0.6421777975753535      1043                     -22.534803               13.072204                0.09302484               1.6798925                79.49755                 
50                       0.035201407339837815     108160                   -136.5218373987911       1069                     -119.78471075814726      32                       0.010453062561842112     10476                    -0.5809116656963642      52306                    0.50613284               14.456298                3.000971e-08             37.092648                113585.836               
100                      0.07276219599776798      215739                   -121.29541533659662      1062                     -119.15570785304516      32                       0.011299346132976253     20904                    -0.5527976198439029      104340                   0.12025416               15.014979                5.7498783e-06            215.24527                2724191.5                
150                      0.1120419094297621       322343                   -114.82271583395823      1014                     -124.24481498541233      32                       0.011605758626921838     31242                    -0.5669848509509154      155920                   -0.04126769              15.384957                9.319903e-07             465.78235                9575027.0                
200                      0.15491793943776025      433894                   -108.65847390714772      990                      -89.59434815182392       32                       0.012004971504211426     42062                    -0.5597768743793445      209928                   0.5976513                15.466126                7.956826e-07             325.60175                2665983.2                
250                      0.1970846583445867       544022                   -96.38027756067316       976                      -98.76599283770626       32                       0.011703110680791546     52746                    -0.5403184759076061      263249                   0.21421121               14.985927                2.9945984e-06            366.51227                6247260.5                
300                      0.23850393891334534      651591                   -79.06911361601271       931                      -93.19117462776526       32                       0.007649609099986941     63185                    -0.5286517031942986      315343                   -0.9965149               12.009266                1.9498299e-05            1816.3479                39628836.0               
350                      0.28034061153729756      761293                   -61.288794783057675      918                      -76.34212999044351       32                       0.004849191449114666     73835                    -0.5740055991787053      368481                   0.5094105                9.807404                 1.0697211e-06            410.5109                 5262522.0                
400                      0.33150938040680356      873626                   -32.68202853977488       704                      -48.15867464968765       32                       0.0049811150346483505    84761                    -0.5680026516190231      423015                   0.0629248                9.770683                 1.9346247e-07            18.121506                318996.22                
450                      0.39667036069764033      991244                   -12.198621703276087      561                      -80.56114547785872       32                       0.004172873497009277     96215                    -0.6099094910205987      480196                   -0.1602846               8.950234                 2.4527035e-06            11.621272                58464.85                 
500                      0.47093918336762325      1111229                  15.226557217565828       355                      -4.696708526626435       32                       0.004441100168445883     107922                   -0.636308129570384       538632                   0.6234763                9.205629                 1.9430581e-05            15.895557                147599.66                
550                      0.5529044595691893       1231131                  27.135377125294227       242                      20.15009636570456        32                       0.004644400570022158     119632                   -0.622533751028781       597085                   0.25457248               9.474765                 1.53448e-05              43.081406                451512.38                
600                      0.6430465333329307       1358137                  33.44743965867462        222                      4.727222468398576        32                       0.004106735613565803     132036                   -0.5817121590363694      659010                   -0.0058301487            8.79135                  1.4289958e-07            752.8027                 21282058.0               
650                      0.7274779600567288       1482445                  41.40026151502272        221                      68.21683144260201        32                       0.0048707826829059815    144178                   -0.6249383285084981      719624                   -0.12010142              9.682463                 1.6025116e-09            14.394185                271236.66                
700                      0.8070039218664169       1607143                  76.375457463203          242                      34.50612489260586        32                       0.004877289312075725     156361                   -0.6132390073896407      780417                   -0.029881705             9.587432                 1.7579152e-08            37.116215                935389.44                
750                      0.8813252916600969       1727807                  80.97328948536173        268                      86.11859289986458        32                       0.007012373964551469     168144                   -0.6738360486609243      839228                   0.04629702               11.415792                1.0715605e-05            8.254816                 60461.773                
800                      0.9545828317933612       1845570                  116.10204402172009       271                      116.20917863923296       32                       0.007354725396268753     179645                   -0.652983603669549       896622                   -0.009667022             11.805387                2.1042845e-06            15.273854                130911.414               
850                      1.0192228076193068       1961360                  131.557389710875         305                      149.91566494538668       32                       0.008640117872328986     190946                   -0.6658712332589286      953034                   -0.021216415             12.515967                1.4760136e-06            26.252266                458361.2                 
900                      1.0804458209541108       2076930                  164.57252369975552       350                      156.53484299932816       32                       0.008800789391323602     202224                   -0.6565627456228318      1009316                  -0.8375356               12.948967                1.0105252e-06            5.9405346                85854.3                  
950                      1.1402199587557051       2193783                  172.62782739268567       375                      187.8395405294445        32                       0.008673932417383734     213628                   -0.6321090986143868      1066216                  -0.25401837              12.609288                2.3909085e-06            8.338751                 46825.973                
1000                     1.1996833227740393       2309652                  187.32042585354466       368                      154.52614740189497       32                       0.006517382918811235     224932                   -0.6469946549639521      1122640                  0.86744833               11.065785                3.107888e-06             34.619102                369946.47                
1050                     1.2542515806357066       2422387                  180.28526661416487       385                      98.7773065383138         32                       0.008414539572310774     235928                   -0.6258824178617295      1177523                  1.0572963                12.481259                2.1621986e-06            249.07559                7037266.0                
1100                     1.307649464805921        2533421                  191.56452239072675       383                      136.12641851768674       32                       0.00889787197113037      246756                   -0.6541296279038442      1231577                  0.46305746               12.736991                2.4523746e-07            11.444429                146002.83                
1150                     1.3588667237096363       2644546                  190.42395340635727       407                      182.13983615466424       32                       0.010406463300410788     257591                   -0.6444543031910759      1285664                  0.82457227               14.011623                2.760081e-05             15.2606325               230236.17                
1200                     1.4106014090776444       2756197                  200.62808446983587       425                      137.81213641592595       32                       0.011130396748932314     268476                   -0.6172570823726797      1339998                  -0.32949117              14.405636                5.764769e-06             22.306547                539512.6                 
1250                     1.4595590231815974       2867144                  194.49658194540046       429                      185.32013424460723       32                       0.011780175195860972     279294                   -0.6120438241430755      1393983                  -0.13536876              14.897545                6.3034654e-06            26.489159                602374.56                
1300                     1.5090890234046512       2979665                  195.16568411153438       428                      173.82489200484542       32                       0.01155852108466916      290266                   -0.6511269884800025      1448738                  1.4191855                14.957128                9.172608e-06             134.72905                4700006.0                
1350                     1.5579257433944278       3089958                  199.6965725892575        430                      164.36055191423438       32                       0.009419946892316951     301019                   -0.6181233154068919      1502408                  0.34041828               13.205499                1.2126053e-07            8945.786                 399466780.0              
1400                     1.6063337149884966       3201925                  217.581614239264         435                      187.45522969143187       32                       0.008644120408854353     311937                   -0.6768419950571052      1556891                  -0.35911325              12.700607                1.5669242e-06            5.561558                 50482.16                 
1450                     1.6546437033017476       3314781                  210.38956503981865       445                      177.70782558823194       32                       0.0108985001580757       322941                   -0.6455881388382079      1611801                  0.5543988                13.966477                4.3568243e-06            126.47707                4572485.5                
1500                     1.7003742082251443       3424745                  212.85328564254863       462                      195.42689676249987       32                       0.01064439181467933      333661                   -0.6080557595857075      1665292                  -0.23524567              14.220886                6.332981e-07             80.7599                  1193505.0                
1550                     1.7450204769770303       3533716                  228.62011214361775       476                      217.43887310353583       32                       0.009150651698940797     344282                   -0.6428622106990903      1718292                  0.8839142                13.3980665               6.568568e-07             71.19638                 2304742.0                
1600                     1.7916140074862374       3644742                  230.50782343245623       481                      148.97777139196126       32                       0.008337390254920637     355098                   -0.6117566342860713      1772296                  -0.010967207             12.510735                9.55856e-07              448.73206                17701726.0               
1650                     1.8371423745817608       3755028                  227.42884831061335       474                      172.44868254323276       32                       0.006299331350233949     365850                   -0.6303155102776092      1825942                  0.5466888                10.897179                3.2766022e-07            245.76816                9997518.0                
1700                     1.8821565250555674       3865079                  229.90206018276578       481                      210.9168650788301        32                       0.0065076562206140545    376573                   -0.6332747739473369      1879466                  0.4715751                11.209016                1.8216552e-06            15.0845785               188815.61                
1750                     1.9287071497572792       3976235                  233.9524242398057        468                      205.15179128806906       32                       0.004663453382604262     387405                   -0.6199618654553167      1933534                  0.49729165               9.369504                 1.3829977e-07            18.793402                329534.62                
1800                     1.9725919901662403       4084734                  235.18020757563042       474                      210.66458751564753       32                       0.006432702608197649     397982                   -0.6234343280040748      1986306                  -0.17885101              11.084501                5.0106223e-07            25.585976                630390.4                 
1850                     2.0162465367714564       4193454                  239.6309463852483        484                      178.29039825504606       32                       0.007760388431725679     408577                   -0.6113246178825881      2039178                  0.18394284               11.870016                7.4630464e-08            256.97668                6653771.0                
1900                     2.0610899276865853       4304519                  234.18026293968433       467                      206.16105226955358       32                       0.008194108546038211     419402                   -0.6285198879407224      2093203                  -0.20322126              12.56534                 3.8563962e-06            329.59192                5836035.0                
1950                     2.1057450140184826       4414804                  228.627382388542         473                      236.06893362109022       32                       0.006435814861939332     430151                   -0.6221854612999356      2146848                  -0.1495126               11.327585                2.2041556e-07            20.459146                143087.69                
2000                     2.1502505182557634       4524142                  239.15300765194607       459                      215.2733590164058        32                       0.006061821355732209     440810                   -0.6436047633049896      2200032                  0.013074799              10.879908                1.7711033e-06            46.18134                 1405096.8                
2050                     2.195310493442747        4635750                  232.43467589049604       469                      236.96928088894154       32                       0.008529641953381625     451689                   -0.6435240589488637      2254321                  0.4535818                12.750743                1.5270718e-06            8.29529                  51086.434                
2100                     2.2388600450754166       4745460                  232.19699996204469       482                      249.03947869337156       32                       0.00712321626329885      462378                   -0.6080943919994213      2307682                  0.32970527               11.638117                9.715258e-06             181.23233                8207531.5                
2150                     2.2828678656286665       4855259                  241.8826268305708        481                      216.29097233267032       32                       0.00583268086844628      473081                   -0.6150869014732965      2361083                  0.12578772               10.443452                3.4331651e-07            1027.0669                45029030.0               
2200                     2.3264600172307754       4965787                  253.3514661761189        486                      250.62695582065308       32                       0.004075680502611606     483854                   -0.607265720119724       2414839                  -0.26881057              8.721959                 3.8246633e-08            77.12137                 2270019.0                
2250                     2.3697269759575526       5075113                  244.07485004902736       484                      231.8821666963617        32                       0.00584209349847609      494506                   -0.6310129200840349      2468009                  -0.6566529               10.5649605               4.7600318e-07            13.482901                82304.89                 
2300                     2.4142377341455883       5184070                  246.73017959684069       465                      257.39284840787934       32                       0.004488051965318877     505124                   -0.5872117602897163      2521007                  -0.47395426              9.272296                 2.3621533e-07            29.660301                581442.2                 
2350                     2.4585265021191702       5294487                  247.30998758168283       474                      212.5208717068688        32                       0.006051620798247853     515887                   -0.6137860920833833      2574714                  0.25106138               10.841628                1.4681231e-07            66.84366                 2819542.2                
2400                     2.50233918428421         5403032                  247.94178554368673       469                      243.47552423047517       32                       0.006357396111904996     526467                   -0.6327339752375731      2627512                  -0.31157336              10.815904                3.8260537e-06            19.181047                296276.56                
2450                     2.5482534789376787       5514300                  240.81885448955967       476                      236.51655632092596       32                       0.0055708955315982595    537312                   -0.6478420475918034      2681634                  -0.41022316              10.206412                3.6250647e-06            3.9874222                19719.463                
2500                     2.5917980206012725       5624492                  253.49278351887688       486                      235.18893994230467       32                       0.0049763278684754305    548047                   -0.6044860544987922      2735226                  0.15850031               9.752218                 6.3752537e-09            35.60863                 502564.66                
2550                     2.635912689566612        5733141                  250.21756089617597       474                      214.03708015335428       32                       0.005123607490373694     558636                   -0.6157660625783977      2788071                  -0.45748702              9.858115                 5.7956495e-06            20.143003                322583.5                 
2600                     2.67926201985942         5842963                  248.9641171462985        484                      240.66533110477698       32                       0.0037913792239034115    569340                   -0.614715275209566       2841479                  0.35901242               8.64918                  2.5847385e-07            26.386436                267225.38                
2650                     2.724352412290043        5952765                  244.9515527119415        450                      234.23942964670613       32                       0.0039039550772035757    580044                   -0.6166609094498006      2894899                  0.44498742               8.706966                 1.5041438e-08            299.41263                12081572.0               
2700                     2.767645882765452        6061598                  256.1046501784553        486                      217.44370607510453       32                       0.0030187462836923735    590650                   -0.635419990647007       2947828                  -0.121552534             7.6795955                2.3435673e-09            776.81024                33286532.0               
