Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.000224497119585673     2091                     -13.718187749732499      41                       -9.873610748177983       32                       0.0024913801482660852    201                      -0.6893325790420517      1001                     1.3998944                6.986245                 0.033486508              1.7091206                23.924149                
50                       0.030449228154288396     106641                   -13.61561243406443       2050                     -8.029643646104962       32                       0.0001633414136829661    10251                    -0.7137757262268981      51051                    -0.14210065              1.8431497                0.00088827184            1.7245351                1045.5872                
100                      0.061866083277596365     211191                   -12.239382434474967      2050                     -7.426315003037962       32                       6.436637199636715e-05    20301                    -0.7838729873641983      101101                   -0.015437054             1.1367571                0.0008202798             1.7101386                265.18436                
150                      0.09322584615813362      315741                   -11.395523100731593      2050                     -6.1705372188382         32                       4.929869403293477e-05    30351                    -0.7820289451759178      151151                   0.030404285              0.9905001                0.0012228995             1.7107571                510.76932                
200                      0.1246003407239914       420291                   -10.878602328582655      2050                     -5.355242229166254       32                       3.05771318018733e-05     40401                    -0.8399829540576611      201201                   0.01894408               0.78185636               0.0069003776             1.6882063                159.0189                 
250                      0.15600235846307542      524841                   -10.575004851098614      2050                     -4.954540629558991       32                       2.4682765743180888e-05   50451                    -0.8687849016218157      251251                   0.005374849              0.70242894               0.0031931573             1.7000674                863.16003                
300                      0.18762503021293217      629391                   -10.40597997492155       2050                     -5.151808261115639       32                       2.082722697091933e-05    60501                    -0.8678753497479084      301301                   0.024735406              0.64510196               0.0010563877             1.6810266                298.82147                
350                      0.21890606966283585      733941                   -10.283914724877059      2050                     -4.921365301661082       32                       1.7900322216437825e-05   70551                    -0.9059842135403658      351351                   0.01641166               0.5980715                0.0029556036             1.6780832                244.89363                
400                      0.25017105168766446      838491                   -10.06493460244567       2050                     -5.286643485939399       32                       1.664631490350066e-05    80601                    -0.8989340127645792      401401                   -0.00087829016           0.5766957                0.0013214824             1.6918637                267.41592                
450                      0.2817340961429808       943041                   -10.003946021048852      2050                     -4.519595789520265       32                       1.486298391845689e-05    90651                    -0.9067685244443057      451451                   0.015312495              0.54401654               0.0019376318             1.7200385                2069.5974                
500                      0.3131086727645662       1047591                  -9.891625305348983       2050                     -5.017700676186983       32                       1.3547832498428833e-05   100701                   -0.9170492593344156      501501                   0.007478595              0.51931167               0.00010440973            1.6458149                200.93968                
