Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.000493375990125868     2126                     -104.44477057068214      21                       -173.23916636807098      32                       0.010988221585171895     206                      -0.5889755427141597      1028                     -13.617096               15.690267                0.0008351496             2.816903                 1109.2737                
50                       0.0593790332476298       108994                   -141.33113367562936      1060                     -119.20997646415262      32                       0.008865696133919132     10564                    -0.5527804190652412      52713                    -0.060641974             13.165872                5.3250426e-07            214.13243                1758727.8                
100                      0.11975003474288516      215405                   -124.17148160672816      1060                     -138.32904569293828      32                       0.011151765401546773     20879                    -0.5317977318396935      104183                   -0.6750604               15.006198                2.4039637e-06            240.51627                3688503.5                
150                      0.18354253788789113      325001                   -116.95453123528976      1027                     -101.50391122949436      32                       0.012214065778373492     31508                    -0.564873723700495       157219                   0.110576116              15.350473                4.8142865e-05            444.53134                5599399.0                
200                      0.2456001145309872       432312                   -103.52485672566539      1026                     -132.3898219069949       32                       0.010179810923308575     41914                    -0.5771246748008275      209140                   0.25781813               14.224567                8.914784e-07             445.54416                6571801.0                
250                      0.31529034309917026      540206                   -91.16338945216219       935                      -68.26390169925645       32                       0.009119569074989545     52385                    -0.5425111980457136      261393                   -0.2021202               13.25917                 2.741977e-06             997.9068                 11197244.0               
300                      0.38553437173366545      648435                   -74.47036133692562       870                      -94.47331902295382       32                       0.007921164475598381     62890                    -0.5577840564320389      313838                   0.70401025               12.492229                2.5056027e-06            1268.6664                36682572.0               
350                      0.4773930600616667       762138                   -51.137153283210544      687                      -104.5834123849494       32                       0.0062152557777908615    73950                    -0.5763060023518727      369046                   0.4093402                11.005867                5.149522e-07             5717.938                 228214430.0              
400                      0.6014336908525891       879406                   -31.596632603845755      382                      -63.88623661586635       32                       0.005127529583066842     85390                    -0.6100262330594426      426145                   -0.13276112              9.806458                 2.473223e-06             14.909025                317623.22                
450                      0.7378547263145446       999340                   -6.95054253846033        258                      -26.37741196637349       32                       0.003672454345739629     97101                    -0.5896563808313398      484605                   0.4028412                8.309234                 1.583401e-05             13.116721                92788.055                
